date,min_price,max_price,modal_price,month,day_of_week,price_change,price_change_pct,rolling_mean_7,rolling_mean_30,lag_1_temp,lag_7_temp,lag_30_temp,naive_prediction,actual_next_price
2023-06-06,800.0,970.0,900.0,6,1,,,,,,,,,900.0
2023-06-07,800.0,980.0,900.0,6,2,0.0,0.0,,,900.0,,,900.0,900.0
2023-06-08,800.0,970.0,900.0,6,3,0.0,0.0,,,900.0,,,900.0,900.0
2023-06-09,830.0,970.0,900.0,6,4,0.0,0.0,,,900.0,,,900.0,900.0
2023-06-10,830.0,980.0,910.0,6,5,10.0,1.1111111111111072,,,900.0,,,900.0,910.0
2023-06-11,840.0,1000.0,910.0,6,6,0.0,0.0,,,910.0,,,910.0,910.0
2023-06-12,840.0,1000.0,910.0,6,0,0.0,0.0,904.2857142857143,,910.0,,,910.0,910.0
2023-06-13,810.0,980.0,900.0,6,1,-10.0,-1.098901098901095,904.2857142857143,,910.0,900.0,,910.0,900.0
2023-06-14,850.0,1000.0,910.0,6,2,10.0,1.1111111111111072,905.7142857142857,,900.0,900.0,,900.0,910.0
2023-06-15,810.0,980.0,900.0,6,3,-10.0,-1.098901098901095,905.7142857142857,,910.0,900.0,,910.0,900.0
2023-06-16,830.0,1000.0,910.0,6,4,10.0,1.1111111111111072,907.1428571428571,,900.0,900.0,,900.0,910.0
2023-06-18,800.0,980.0,900.0,6,6,-10.0,-1.098901098901095,905.7142857142857,,910.0,910.0,,910.0,900.0
2023-06-19,820.0,990.0,900.0,6,0,0.0,0.0,904.2857142857143,,900.0,910.0,,900.0,900.0
2023-06-20,830.0,1000.0,910.0,6,1,10.0,1.1111111111111072,904.2857142857143,,900.0,910.0,,900.0,910.0
2023-06-21,840.0,980.0,910.0,6,2,0.0,0.0,905.7142857142857,,910.0,900.0,,910.0,910.0
2023-06-22,800.0,980.0,900.0,6,3,-10.0,-1.098901098901095,904.2857142857143,,910.0,910.0,,910.0,900.0
2023-06-23,830.0,1000.0,910.0,6,4,10.0,1.1111111111111072,905.7142857142857,,900.0,900.0,,900.0,910.0
2023-06-24,830.0,970.0,910.0,6,5,0.0,0.0,905.7142857142857,,910.0,910.0,,910.0,910.0
2023-06-25,850.0,1000.0,920.0,6,6,10.0,1.098901098901095,908.5714285714286,,910.0,900.0,,910.0,920.0
2023-06-26,830.0,1000.0,915.0,6,0,-5.0,-0.5434782608695676,910.7142857142857,,920.0,900.0,,920.0,915.0
2023-06-27,860.0,1000.0,940.0,6,1,25.0,2.732240437158473,915.0,,915.0,910.0,,915.0,940.0
2023-06-28,850.0,1000.0,925.0,6,2,-15.0,-1.5957446808510634,917.1428571428571,,940.0,910.0,,940.0,925.0
2023-06-29,840.0,1000.0,920.0,6,3,-5.0,-0.540540540540535,920.0,,925.0,900.0,,925.0,920.0
2023-06-30,840.0,1000.0,915.0,6,4,-5.0,-0.5434782608695676,920.7142857142857,,920.0,910.0,,920.0,915.0
2023-07-01,850.0,1000.0,930.0,7,5,15.0,1.6393442622950838,923.5714285714286,,915.0,910.0,,915.0,930.0
2023-07-02,860.0,1000.0,940.0,7,6,10.0,1.0752688172043001,926.4285714285714,,930.0,920.0,,930.0,940.0
2023-07-03,870.0,1020.0,950.0,7,0,10.0,1.0638297872340496,931.4285714285714,,940.0,915.0,,940.0,950.0
2023-07-04,940.0,1080.0,1020.0,7,1,70.0,7.36842105263158,942.8571428571429,,950.0,940.0,,950.0,1020.0
2023-07-05,900.0,1060.0,980.0,7,2,-40.0,-3.9215686274509776,950.7142857142857,,1020.0,925.0,,1020.0,980.0
2023-07-06,940.0,1100.0,1020.0,7,3,40.0,4.081632653061229,965.0,922.1666666666666,980.0,920.0,,980.0,1020.0
2023-07-07,940.0,1080.0,1020.0,7,4,0.0,0.0,980.0,926.1666666666666,1020.0,915.0,900.0,1020.0,1020.0
2023-07-08,950.0,1100.0,1035.0,7,5,15.0,1.4705882352941124,995.0,930.6666666666666,1020.0,930.0,900.0,1020.0,1035.0
2023-07-09,950.0,1100.0,1040.0,7,6,5.0,0.48309178743961567,1009.2857142857143,935.3333333333334,1035.0,940.0,900.0,1035.0,1040.0
2023-07-10,950.0,1120.0,1050.0,7,0,10.0,0.9615384615384581,1023.5714285714286,940.3333333333334,1040.0,950.0,900.0,1040.0,1050.0
2023-07-11,960.0,1100.0,1030.0,7,1,-20.0,-1.904761904761909,1025.0,944.3333333333334,1050.0,1020.0,910.0,1050.0,1030.0
2023-07-12,970.0,1120.0,1050.0,7,2,20.0,1.9417475728155331,1035.0,949.0,1030.0,980.0,910.0,1030.0,1050.0
2023-07-13,950.0,1100.0,1020.0,7,3,-30.0,-2.857142857142858,1035.0,952.6666666666666,1050.0,1020.0,910.0,1050.0,1020.0
2023-07-14,960.0,1100.0,1040.0,7,4,20.0,1.9607843137254832,1037.857142857143,957.3333333333334,1020.0,1020.0,900.0,1020.0,1040.0
2023-07-15,1000.0,1150.0,1080.0,7,5,40.0,3.8461538461538547,1044.2857142857142,963.0,1040.0,1035.0,910.0,1040.0,1080.0
2023-07-16,1020.0,1175.0,1100.0,7,6,20.0,1.85185185185186,1052.857142857143,969.6666666666666,1080.0,1040.0,900.0,1080.0,1100.0
2023-07-17,1000.0,1150.0,1080.0,7,0,-20.0,-1.8181818181818188,1057.142857142857,975.3333333333334,1100.0,1050.0,910.0,1100.0,1080.0
2023-07-18,1000.0,1150.0,1085.0,7,1,5.0,0.4629629629629539,1065.0,981.5,1080.0,1030.0,900.0,1080.0,1085.0
2023-07-19,1000.0,1150.0,1080.0,7,2,-5.0,-0.4608294930875556,1069.2857142857142,987.5,1085.0,1050.0,900.0,1085.0,1080.0
2023-07-20,1020.0,1180.0,1100.0,7,3,20.0,1.85185185185186,1080.7142857142858,993.8333333333334,1080.0,1020.0,910.0,1080.0,1100.0
2023-07-21,1000.0,1150.0,1070.0,7,4,-30.0,-2.7272727272727226,1085.0,999.1666666666666,1100.0,1040.0,910.0,1100.0,1070.0
2023-07-22,1000.0,1150.0,1070.0,7,5,0.0,0.0,1083.5714285714287,1004.8333333333334,1070.0,1080.0,900.0,1070.0,1070.0
